"","SampleID","Pi"
"133","D75282-",0.00805381738192312
"134","D75283-",0.0130809799278369
"135","D75284-",0.0104827373954521
"136","D75285-",0.0113277311562477
"137","D75286-",0.0124874775022603
"138","D75287-",0.0108615154987929
"139","D75288-",0.00666298514286567
"140","D75294-",0.00829665034863088
"141","D75296-",0.00953826183206253
"142","D75297-",0.00733147643248098
"143","D75299-",0.00813392342437073
"144","D75302-",0.00969161985255448
"145","D75303-",0.00981301071552969
"146","D75305R",0.000134338715256241
"147","D75308R",0.0149462299663623
"148","D75309-",0.0117236242304699
"149","D75310-",0.0103306855885599
"150","D75311-",0.0109244665973711
"151","D75313-",0.0109266795461586
"152","D75314-",0.00835660785022709
"153","D75316-",0.00967713650189696
"154","D75320-",0.00934354197246767
"155","D75321-",0.00872941104780524
"156","D75322-",0.0084475785017938
"157","D75324-",0.00968245838249891
"158","D75325-",0.00961146951137623
"159","D75328-",0.00929290237318386
"160","D75333-",0.0108575402154122
"161","D75335R",0.0200244520884779
"162","D75336-",0.0140928062501003
"163","D75337-",0.00853727846809988
"164","D75341R",0.0107900648225784
"165","D75343R",0.0150653251693768
"166","D75344R",0.00969230753965367
"167","D75352R",0.00756301901453888
"168","D75353-",0.00973905971156695
"169","D75355R",0.0104557915681748
"170","D75358-",0.0151136539277856
"171","D75368R",0.0113891291847615
"172","D75369-",0.0088999557300884
"173","D75370-",0.0098897286064788
"174","D75371-",0.00824110094502894
"175","D75372-",0.0116678701916216
"176","D75373R",0.010845871319878
"177","D75376-",0.0112748134970948
"178","D75377-",0.00641160127959299
"179","D75378R",0.0122068629037181
"180","D75381-",0.0116726516945899
"181","D75382-",0.00691187934576531
"182","D75384R",0.0138754931288159
"183","D75385R",0.00762302503296711
"184","D75387R",0.0113386630136129
"185","D75388R",0.0104939122069277
"186","D75391-",0.00882944609249809
"187","D75392-",0.0138406802307937
"188","D75393-",0.0144436869483859
"189","D75394-",0.0117209651740674
"190","D75395R",0.0115814575082716
"191","D75398R",0.00812247410227676
"192","D75400-",0.0115323150786736
"193","D75401-",0.0106047931745835
"194","D75402-",0.0151638313265174
"195","D75405-",0.0118881240648085
